node_ids timestamps
0 77.0
0 134.0
0 208.0
0 275.0
0 341.0
0 411.0
0 479.0
0 562.0
0 616.0
0 679.0
0 745.0
0 819.0
0 892.0
0 965.0
0 1049.0
0 1116.0
0 1192.0
0 1261.0
0 1329.0
0 1399.0
0 1474.0
0 1551.0
0 1609.0
0 1675.0
0 1747.0
0 1802.0
0 1865.0
0 1928.0
0 2002.0
0 2085.0
0 2151.0
0 2234.0
0 2295.0
0 2352.0
0 2432.0
0 2498.0
0 2582.0
0 2655.0
0 2715.0
0 2779.0
0 2843.0
0 2914.0
0 2993.0
0 3059.0
0 3129.0
0 3208.0
0 3275.0
0 3357.0
0 3422.0
0 3494.0
0 3562.0
0 3631.0
0 3682.0
0 3743.0
0 3802.0
0 3861.0
0 3926.0
0 4011.0
0 4072.0
0 4119.0
0 4194.0
0 4258.0
0 4325.0
0 4387.0
0 4449.0
0 4511.0
0 4575.0
0 4631.0
0 4694.0
0 4776.0
0 4837.0
0 4896.0
0 4963.0
0 5030.0
0 5093.0
0 5161.0
0 5224.0
0 5298.0
0 5364.0
0 5423.0
0 5488.0
0 5545.0
0 5624.0
0 5678.0
0 5744.0
0 5818.0
0 5873.0
0 5940.0
0 5998.0
0 6055.0
0 7088.0
0 8174.0
0 8230.0
0 8316.0
0 8379.0
0 8454.0
0 8523.0
0 8585.0
0 8658.0
0 8731.0
0 8799.0
0 8868.0
0 8936.0
0 8994.0
0 9065.0
0 9134.0
0 9207.0
0 9281.0
0 9334.0
0 9394.0
0 9481.0
0 9523.0
0 9594.0
0 9670.0
0 9739.0
0 9809.0
0 9866.0
0 9937.0
0 9999.0
1 85.0
1 140.0
1 206.0
1 287.0
1 353.0
1 402.0
1 460.0
1 521.0
1 585.0
1 674.0
1 731.0
1 785.0
1 859.0
1 927.0
1 999.0
1 1069.0
1 1133.0
1 1197.0
1 1263.0
1 1328.0
1 1386.0
1 1445.0
1 1506.0
1 1571.0
1 1633.0
1 1700.0
1 1770.0
1 1838.0
1 1912.0
1 1974.0
1 2035.0
1 2095.0
1 2163.0
1 2219.0
1 2288.0
1 2372.0
1 2439.0
1 2497.0
1 2559.0
1 2622.0
1 2682.0
1 2739.0
1 2823.0
1 2876.0
1 2932.0
1 2995.0
1 3051.0
1 3121.0
1 3188.0
1 3259.0
1 3316.0
1 3373.0
1 3443.0
1 3522.0
1 3581.0
1 3650.0
1 3722.0
1 3789.0
1 3850.0
1 3904.0
1 3971.0
1 4028.0
1 4090.0
1 4143.0
1 4213.0
1 4275.0
1 4344.0
1 4412.0
1 4485.0
1 4545.0
1 4616.0
1 4682.0
1 4748.0
1 4812.0
1 4875.0
1 4944.0
1 5011.0
1 5089.0
1 5156.0
1 5214.0
1 5287.0
1 5357.0
1 5411.0
1 5469.0
1 5538.0
1 5603.0
1 5672.0
1 5734.0
1 5786.0
1 5863.0
1 5919.0
1 5995.0
1 6062.0
1 7109.0
1 8175.0
1 8236.0
1 8296.0
1 8355.0
1 8424.0
1 8484.0
1 8541.0
1 8594.0
1 8655.0
1 8717.0
1 8775.0
1 8828.0
1 8899.0
1 8955.0
1 9028.0
1 9096.0
1 9166.0
1 9249.0
1 9313.0
1 9384.0
1 9457.0
1 9524.0
1 9584.0
1 9642.0
1 9719.0
1 9782.0
1 9854.0
1 9934.0
1 9988.0
2 68.0
2 138.0
2 194.0
2 256.0
2 320.0
2 384.0
2 462.0
2 540.0
2 605.0
2 665.0
2 739.0
2 802.0
2 865.0
2 925.0
2 999.0
2 1061.0
2 1143.0
2 1213.0
2 1279.0
2 1343.0
2 1400.0
2 1468.0
2 1545.0
2 1599.0
2 1653.0
2 1719.0
2 1777.0
2 1827.0
2 1885.0
2 1959.0
2 2020.0
2 2075.0
2 2144.0
2 2207.0
2 2279.0
2 2339.0
2 2406.0
2 2463.0
2 2531.0
2 2608.0
2 2675.0
2 2743.0
2 2814.0
2 2879.0
2 2945.0
2 2994.0
2 3071.0
2 3149.0
2 3213.0
2 3283.0
2 3349.0
2 3416.0
2 3483.0
2 3548.0
2 3615.0
2 3679.0
2 3748.0
2 3821.0
2 3899.0
2 3960.0
2 4041.0
2 4107.0
2 4174.0
2 4235.0
2 4296.0
2 4353.0
2 4412.0
2 4472.0
2 4533.0
2 4602.0
2 4677.0
2 4740.0
2 4806.0
2 4872.0
2 4943.0
2 5008.0
2 5078.0
2 5143.0
2 5207.0
2 5275.0
2 5340.0
2 5414.0
2 5493.0
2 5549.0
2 5620.0
2 5694.0
2 5758.0
2 5819.0
2 5880.0
2 5958.0
2 6034.0
2 7061.0
2 8048.0
2 8171.0
2 8238.0
2 8301.0
2 8366.0
2 8446.0
2 8505.0
2 8568.0
2 8629.0
2 8690.0
2 8762.0
2 8830.0
2 8891.0
2 8952.0
2 9016.0
2 9077.0
2 9144.0
2 9216.0
2 9270.0
2 9321.0
2 9390.0
2 9444.0
2 9514.0
2 9588.0
2 9664.0
2 9738.0
2 9798.0
2 9855.0
2 9923.0
2 9986.0
3 71.0
3 133.0
3 208.0
3 281.0
3 350.0
3 417.0
3 489.0
3 537.0
3 608.0
3 671.0
3 745.0
3 804.0
3 876.0
3 939.0
3 993.0
3 1079.0
3 1144.0
3 1206.0
3 1275.0
3 1357.0
3 1433.0
3 1491.0
3 1554.0
3 1606.0
3 1661.0
3 1731.0
3 1798.0
3 1850.0
3 1910.0
3 1991.0
3 2052.0
3 2118.0
3 2178.0
3 2251.0
3 2330.0
3 2394.0
3 2471.0
3 2529.0
3 2601.0
3 2678.0
3 2755.0
3 2822.0
3 2899.0
3 2960.0
3 3036.0
3 3107.0
3 3179.0
3 3246.0
3 3315.0
3 3389.0
3 3457.0
3 3510.0
3 3573.0
3 3642.0
3 3720.0
3 3782.0
3 3844.0
3 3902.0
3 3983.0
3 4042.0
3 4123.0
3 4184.0
3 4253.0
3 4318.0
3 4386.0
3 4445.0
3 4508.0
3 4560.0
3 4619.0
3 4668.0
3 4736.0
3 4803.0
3 4876.0
3 4941.0
3 5016.0
3 5096.0
3 5147.0
3 5217.0
3 5285.0
3 5343.0
3 5431.0
3 5488.0
3 5540.0
3 5603.0
3 5661.0
3 5729.0
3 5793.0
3 5858.0
3 5939.0
3 6006.0
3 7120.0
3 8075.0
3 8180.0
3 8238.0
3 8271.0
3 8336.0
3 8410.0
3 8483.0
3 8552.0
3 8613.0
3 8693.0
3 8761.0
3 8836.0
3 8892.0
3 8958.0
3 9030.0
3 9113.0
3 9195.0
3 9270.0
3 9324.0
3 9407.0
3 9486.0
3 9553.0
3 9623.0
3 9705.0
3 9788.0
3 9848.0
3 9915.0
3 9980.0
4 63.0
4 136.0
4 202.0
4 266.0
